43.250.136.0/24,AF,AF-KAB,Kabul,,
43.250.137.0/24,AF,AF-KAB,Kabul,,
43.250.138.0/24,AF,AF-KAB,Kabul,,
43.250.139.0/24,AF,AF-KAB,Kabul,,
103.42.0.0/24,AF,AF-KAB,Kabul,,
103.42.1.0/24,AF,AF-KAB,Kabul,,
103.42.2.0/24,AF,AF-KAB,Kabul,,
103.42.3.0/24,AF,AF-KAB,Kabul,,
121.100.48.0/24,AF,AF-KAB,Kabul,,
121.100.49.0/24,AF,AF-KAN,Kandahar,,
121.100.50.0/24,AF,AF-KAB,Kabul,,
121.100.51.0/24,AF,AF-KAB,Kabul,,
121.100.52.0/24,AF,AF-KAB,Kabul,,
121.100.53.0/24,AF,AF-KDZ,Kunduz,,
121.100.54.0/24,AF,AF-KAB,Kabul,,
121.100.55.0/24,AF,AF-KAN,Kandahar,,
119.59.80.0/24,AF,AF-KAB,Kabul,,
119.59.81.0/24,AF,AF-BAL,Mazar,,
119.59.82.0/24,AF,AF-KAB,Kabul,,
119.59.83.0/24,AF,AF-KAB,Kabul,,
119.59.84.0/24,AF,AF-KAB,Kabul,,
119.59.85.0/24,AF,AF-KAB,Kabul,,
119.59.86.0/24,AF,AF-KAB,Kabul,,
119.59.87.0/24,AF,AF-KAB,Kabul,,
61.5.192.0/24,AF,AF-KAN,Kandahar,,
61.5.193.0/24,AF,AF-BAL,Mazar,,
61.5.194.0/24,AF,AF-KDZ,Kunduz,,
61.5.195.0/24,AF,AF-KAB,Kabul,,
61.5.196.0/24,AF,AF-HER,Herat,,
61.5.197.0/24,AF,AF-KAB,Kabul,,
61.5.198.0/24,AF,AF-KAB,Kabul,,
61.5.199.0/24,AF,AF-BAL,Mazar,,
61.5.200.0/24,AF,AF-KAB,Kabul,,
61.5.201.0/24,AF,AF-KAB,Kabul,,
61.5.202.0/24,AF,AF-KAB,Kabul,,
61.5.203.0/24,AF,AF-KAB,Kabul,,
61.5.204.0/24,AF,AF-KAB,Kabul,,
61.5.205.0/24,AF,AF-KAB,Kabul,,
61.5.206.0/24,AF,AF-KAB,Kabul,,
61.5.207.0/24,AF,AF-KAB,Kabul,,
152.36.192.0/24,AF,AF-KAB,Kabul,,
152.36.193.0/24,AF,AF-KAB,Kabul,,
152.36.194.0/24,AF,AF-KAN,Kandahar,,
152.36.195.0/24,AF,AF-KAN,Kandahar,,
152.36.196.0/24,AF,AF-KDZ,Kunduz,,
152.36.197.0/24,AF,AF-BAL,Mazar,,
152.36.198.0/24,AF,AF-HER,Herat,,
152.36.199.0/24,AF,AF-NAN,Jalalabad,,
152.36.200.0/24,AF,AF-KAB,Kabul,,
152.36.201.0/24,AF,AF-KAB,Kabul,,
152.36.202.0/24,AF,AF-KAB,Kabul,,
152.36.203.0/24,AF,AF-KAB,Kabul,,
152.36.204.0/24,AF,AF-KAB,Kabul,,
152.36.205.0/24,AF,AF-KAB,Kabul,,
152.36.206.0/24,AF,AF-KAB,Kabul,,
152.36.207.0/24,AF,AF-KAB,Kabul,,
152.36.208.0/24,AF,AF-KAB,Kabul,,
152.36.209.0/24,AF,AF-KAB,Kabul,,
152.36.210.0/24,AF,AF-KAB,Kabul,,
152.36.211.0/24,AF,AF-KAB,Kabul,,
152.36.212.0/24,AF,AF-KAB,Kabul,,
152.36.213.0/24,AF,AF-KAB,Kabul,,
152.36.214.0/24,AF,AF-HER,Herat,,
152.36.215.0/24,AF,AF-KAB,Kabul,,
152.36.216.0/24,AF,AF-KAN,Kandahar,,
152.36.217.0/24,AF,AF-KAN,Kandahar,,
152.36.218.0/24,AF,AF-KAN,Kandahar,,
152.36.219.0/24,AF,AF-KAN,Kandahar,,
152.36.220.0/24,AF,AF-KAN,Kandahar,,
152.36.221.0/24,AF,AF-KAB,Kabul,,
152.36.222.0/24,AF,AF-KAB,Kabul,,
152.36.223.0/24,AF,AF-KAB,Kabul,,
23.88.192.0/24,AF,AF-KAB,Kabul,,
23.88.193.0/24,AF,AF-KAB,Kabul,,
23.88.194.0/24,AF,AF-KAN,Kandahar,,
23.88.195.0/24,AF,AF-KAN,Kandahar,,
23.88.196.0/24,AF,AF-KAN,Kandahar,,
23.88.197.0/24,AF,AF-KAN,Kandahar,,
23.88.198.0/24,AF,AF-KAN,Kandahar,,
23.88.199.0/24,AF,AF-HER,Herat,,
23.88.200.0/24,AF,AF-HER,Herat,,
23.88.201.0/24,AF,AF-HER,Herat,,
23.88.202.0/24,AF,AF-HER,Herat,,
23.88.203.0/24,AF,AF-HER,Herat,,
23.88.204.0/24,AF,AF-HER,Herat,,
23.88.205.0/24,AF,AF-HER,Herat,,
23.88.206.0/24,AF,AF-HER,Herat,,
23.88.207.0/24,AF,AF-HER,Herat,,
23.88.208.0/24,AF,AF-BAL,Mazar,,
23.88.209.0/24,AF,AF-BAL,Mazar,,
23.88.210.0/24,AF,AF-BAL,Mazar,,
23.88.211.0/24,AF,AF-BAL,Mazar,,
23.88.212.0/24,AF,AF-BAL,Mazar,,
23.88.213.0/24,AF,AF-KDZ,Kunduz,,
23.88.214.0/24,AF,AF-KDZ,Kunduz,,
23.88.215.0/24,AF,AF-KDZ,Kunduz,,
23.88.216.0/24,AF,AF-KDZ,Kunduz,,
23.88.217.0/24,AF,AF-KDZ,Kunduz,,
23.88.218.0/24,AF,AF-KDZ,Kunduz,,
23.88.219.0/24,AF,AF-KDZ,Kunduz,,
23.88.220.0/24,AF,AF-KDZ,Kunduz,,
